latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
6.2214413,-75.47659,1493.0,-18000,America/Bogota,GMT-5

time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm)
2016-05-11,24.0,13.5,9.50
2016-05-12,25.5,15.9,0.30
2016-05-13,27.4,15.3,2.80
2016-05-14,24.2,15.1,0.20
2016-05-15,27.1,15.9,0.00
2016-05-16,27.6,16.5,0.10
2016-05-17,27.5,15.9,0.30
2016-05-18,25.1,17.2,0.70
2016-05-19,26.9,15.6,1.30
2016-05-20,26.5,15.2,2.80
2016-05-21,26.9,15.7,2.10
2016-05-22,26.1,16.5,5.30
2016-05-23,26.9,16.7,4.50
2016-05-24,26.6,15.1,3.20
2016-05-25,25.1,15.3,9.70
2016-05-26,23.7,16.7,21.10
2016-05-27,24.1,15.8,2.50
2016-05-28,25.0,16.3,21.50
2016-05-29,23.2,16.9,20.10
2016-05-30,24.2,15.0,12.00
2016-05-31,23.2,16.2,14.90
2016-06-01,23.7,16.9,3.00
2016-06-02,23.9,15.7,13.20
2016-06-03,22.4,16.8,10.90
2016-06-04,25.0,15.8,8.80
2016-06-05,26.6,14.4,3.00
2016-06-06,22.9,15.1,8.50
2016-06-07,23.2,14.9,1.90
2016-06-08,25.6,14.6,12.40
2016-06-09,25.4,15.7,15.90
2016-06-10,24.8,15.1,9.70
2016-06-11,25.0,14.8,6.00
2016-06-12,25.9,14.7,3.90
2016-06-13,25.9,14.5,1.70
2016-06-14,21.0,14.9,30.10
2016-06-15,24.8,14.4,1.70
2016-06-16,25.7,13.9,0.50
2016-06-17,26.8,14.5,1.00
2016-06-18,26.6,15.1,13.40
2016-06-19,25.1,15.1,9.70
2016-06-20,24.9,14.9,12.30
2016-06-21,23.7,15.1,7.50
2016-06-22,25.6,14.4,1.80
2016-06-23,26.2,14.7,7.20
2016-06-24,24.5,15.2,1.20
2016-06-25,24.3,14.0,10.10
2016-06-26,25.9,13.9,4.00
2016-06-27,27.7,15.5,0.00
2016-06-28,27.1,15.8,0.00
2016-06-29,27.6,15.2,0.20
2016-06-30,27.3,15.2,0.00
2016-07-01,25.2,15.6,12.00
2016-07-02,24.5,16.2,19.20
2016-07-03,24.3,15.0,6.00
2016-07-04,25.9,13.9,9.50
2016-07-05,26.0,14.0,7.00
2016-07-06,25.9,15.7,1.60
2016-07-07,27.6,14.0,6.10
2016-07-08,27.4,14.5,0.00
2016-07-09,28.7,15.0,0.00
2016-07-10,27.6,16.1,0.00
2016-07-11,26.9,15.3,2.10
2016-07-12,26.3,15.1,9.40
2016-07-13,25.2,14.4,22.80
2016-07-14,24.0,16.3,12.40
2016-07-15,25.0,14.6,6.80
2016-07-16,22.3,16.3,6.60
2016-07-17,24.8,13.5,13.50
2016-07-18,24.6,14.9,2.40
2016-07-19,25.5,14.4,8.60
2016-07-20,26.0,14.3,10.00
2016-07-21,26.5,14.8,7.50
2016-07-22,25.7,14.2,13.10
2016-07-23,25.1,14.2,14.10
2016-07-24,24.3,14.1,4.50
2016-07-25,24.7,14.0,10.50
2016-07-26,27.3,14.0,5.60
2016-07-27,26.4,14.2,3.40
2016-07-28,25.6,14.0,0.00
2016-07-29,25.1,13.9,2.40
2016-07-30,25.2,14.7,4.60
2016-07-31,27.0,13.3,0.60
2016-08-01,27.4,14.2,0.10
2016-08-02,25.4,15.4,4.20
2016-08-03,25.7,14.5,7.10
2016-08-04,25.2,15.4,2.20
2016-08-05,27.8,14.0,3.90
2016-08-06,28.5,13.1,2.20
2016-08-07,28.4,15.7,5.90
2016-08-08,27.9,16.3,2.80
2016-08-09,27.5,15.8,1.30
2016-08-10,25.7,15.7,0.30
2016-08-11,27.6,15.0,4.50
2016-08-12,26.5,15.1,1.90
2016-08-13,28.1,15.5,10.80
2016-08-14,27.6,15.0,1.10
2016-08-15,26.8,15.9,7.20
2016-08-16,27.6,15.2,7.70
2016-08-17,28.1,15.6,4.90
2016-08-18,27.5,15.6,17.70
2016-08-19,26.9,14.2,5.20
2016-08-20,27.6,15.6,0.00
2016-08-21,29.0,15.6,0.00
2016-08-22,28.5,16.5,0.40
2016-08-23,29.0,15.5,0.00
2016-08-24,27.2,15.7,3.20
2016-08-25,26.2,14.9,4.00
2016-08-26,25.0,14.8,9.90
2016-08-27,25.2,14.9,10.90
2016-08-28,27.4,13.8,9.30
2016-08-29,24.8,13.9,8.40
2016-08-30,25.1,14.8,3.80
2016-08-31,25.7,15.2,9.50
2016-09-01,25.7,14.3,3.20
2016-09-02,24.8,15.3,5.20
2016-09-03,26.8,13.9,11.50
2016-09-04,25.1,14.3,4.90
2016-09-05,23.2,15.3,5.70
2016-09-06,25.8,14.2,10.40
2016-09-07,23.4,15.2,6.10
