latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
3.4094903,-76.4563,967.0,-18000,America/Bogota,GMT-5

time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm)
2016-11-13,24.5,18.9,12.00
2016-11-14,21.6,18.9,86.30
2016-11-15,23.5,17.2,12.40
2016-11-16,24.2,17.9,17.20
2016-11-17,23.1,18.0,7.00
2016-11-18,24.3,19.2,7.90
2016-11-19,21.2,18.7,26.10
2016-11-20,23.4,17.1,8.30
2016-11-21,24.8,14.6,0.00
2016-11-22,25.6,15.6,0.00
2016-11-23,26.0,17.5,0.30
2016-11-24,24.5,18.9,9.30
2016-11-25,24.6,19.2,22.70
2016-11-26,24.3,19.6,11.90
2016-11-27,25.0,18.4,14.70
2016-11-28,25.7,18.9,12.00
2016-11-29,24.6,19.4,38.40
2016-11-30,25.4,19.6,1.20
2016-12-01,23.2,19.1,15.70
2016-12-02,21.9,18.0,9.50
2016-12-03,23.4,19.1,3.60
